,category,clicks,likes,buys,4xx_errors,5xx_errors,complaints_count,average_dwelltime,source_attractiveness,date_of_registration
6622,ecom,6488536.0,,0,82221,0,0,18.45052740867282,0.4617504550859191,2020-04-21 16:04:41.817367072
2047,information_source,874840.0,21100.0,0,12872,0,0,10.72161852973354,-0.022316892478432288,2024-07-19 23:50:07.268931816
1118,information_source,571210.0,94707.0,0,0,7420,0,1.9222427304531386,0.04639607437211573,2024-07-13 16:35:54.794883135
4992,news,89534.0,924.0,0,834,0,0,2.149243184259456,-0.09336037908666099,2024-09-10 21:29:14.006315095
9970,information_source,1043953.0,289288.0,0,58375,20260,3948,3.7649653412184514,0.02730271100934103,2024-05-26 11:07:15.950527838
5505,ecom,3060369.0,0.0,1945683,51293,0,,8.586620774428546,0.6401104027530277,2022-07-25 16:59:56.675929416
4553,porn,99712.0,0.0,0,0,15178,3725,20.786928206992236,0.06357215509822917,2023-04-26 05:40:15.012475568
1176,ecom,31677060.0,8760379.0,0,924098,0,8519,8.066347131673572,0.0805413305284961,2024-02-19 13:16:17.401183524
9356,information_source,,30903.0,0,11154,0,260,5.259169147896912,0.28365508140748547,2022-01-21 16:24:14.483874704
9772,ecom,1695855.0,0.0,1601683,78271,0,1171,9.834370390926921,0.7574016018768347,2023-07-10 23:20:54.166954000
3492,ecom,1726730.0,1022561.0,548138,14895,18118,3668,5.436713880806863,0.47679879266352354,2023-06-20 13:46:22.839963712
2778,information_source,15538.0,108.0,0,0,4,0,9.437733157684253,-0.060625959019841726,2024-09-23 17:27:56.986105654
